No,Country,Region,Income_Group,SFA,FL,EC,PR,EFR,ATT,SIB
1,United Arab Emirates,Middle East,High Income,3.7,2.9,3.6,2.9,3.5,3.7,1.9
2,United States,North America,High Income,4.25,3.15,3.7,2.7,3.8,4.0,2.3
3,United Kingdom,Europe,High Income,4.0,3.35,3.8,2.7,3.7,4.0,2.25
4,Germany,Europe,High Income,3.9,3.25,4.1,2.8,3.6,3.9,2.1
5,France,Europe,High Income,3.75,3.05,4.0,2.9,3.5,3.8,2.0
6,Sweden,Europe,High Income,4.25,3.6,4.4,2.4,3.9,4.3,2.6
7,Netherlands,Europe,High Income,4.1,3.5,4.2,2.6,3.8,4.1,2.4
8,Denmark,Europe,High Income,4.2,3.55,4.35,2.5,3.8,4.2,2.5
9,Norway,Europe,High Income,4.15,3.45,4.3,2.5,3.9,4.2,2.55
10,Switzerland,Europe,High Income,4.15,3.55,4.25,2.5,3.9,4.2,2.5
11,Finland,Europe,High Income,4.2,3.5,4.35,2.5,3.8,4.2,2.55
12,Austria,Europe,High Income,3.8,3.2,4.05,2.8,3.6,3.9,2.05
13,Belgium,Europe,High Income,3.7,3.1,4.0,2.9,3.5,3.8,1.95
14,Ireland,Europe,High Income,3.9,3.25,4.0,2.7,3.6,4.0,2.15
15,Italy,Europe,High Income,3.25,2.6,3.9,3.1,3.2,3.5,1.5
16,Spain,Europe,High Income,3.35,2.75,3.95,3.0,3.3,3.6,1.6
17,Portugal,Europe,High Income,3.15,2.5,3.85,3.1,3.1,3.4,1.4
18,Poland,Europe,High Income,2.75,2.4,3.5,3.3,3.0,3.3,1.1
19,Czech Republic,Europe,High Income,2.9,2.55,3.6,3.2,3.0,3.3,1.15
20,Canada,North America,High Income,4.05,3.3,3.9,2.7,3.7,4.0,2.2
21,Australia,Asia-Pacific,High Income,3.95,3.2,3.85,2.8,3.6,3.9,2.15
22,New Zealand,Asia-Pacific,High Income,3.85,3.15,3.95,2.8,3.6,3.9,2.05
23,Japan,Asia-Pacific,High Income,3.4,2.95,3.55,3.0,3.3,3.5,1.65
24,South Korea,Asia-Pacific,High Income,3.5,3.05,3.65,2.9,3.4,3.6,1.75
25,Singapore,Asia-Pacific,High Income,3.8,3.3,3.7,2.8,3.6,3.8,2.0
26,Saudi Arabia,Middle East,High Income,3.4,2.6,3.4,3.1,3.2,3.4,1.5
27,Qatar,Middle East,High Income,3.6,2.8,3.5,3.0,3.3,3.5,1.7
28,Kuwait,Middle East,High Income,3.45,2.7,3.45,3.1,3.2,3.4,1.55
29,Turkey,Middle East,Upper Middle,3.0,2.45,3.55,3.3,3.0,3.3,1.25
30,China,Asia-Pacific,Upper Middle,3.6,2.8,3.8,3.0,3.3,3.6,1.85
31,Malaysia,Southeast Asia,Upper Middle,3.0,2.35,3.5,3.3,3.0,3.3,1.25
32,Thailand,Southeast Asia,Upper Middle,2.75,2.15,3.35,3.4,2.9,3.1,1.05
33,Brazil,Latin America,Upper Middle,3.0,2.3,3.7,3.3,3.1,3.3,1.3
34,Mexico,Latin America,Upper Middle,2.8,2.15,3.6,3.4,2.9,3.2,1.1
35,Colombia,Latin America,Upper Middle,2.7,2.05,3.5,3.5,2.8,3.1,1.0
36,Chile,Latin America,High Income,3.1,2.4,3.65,3.2,3.1,3.4,1.35
37,South Africa,Africa,Upper Middle,2.5,1.9,3.25,3.6,2.7,3.0,0.9
38,India,South Asia,Lower Middle,2.9,2.2,3.6,3.4,3.0,3.2,1.2
39,Indonesia,Southeast Asia,Lower Middle,2.6,2.0,3.4,3.5,2.8,3.1,1.0
40,Philippines,Southeast Asia,Lower Middle,2.4,1.85,3.25,3.6,2.7,3.0,0.85
41,Vietnam,Southeast Asia,Lower Middle,2.5,1.95,3.3,3.5,2.8,3.1,0.95
42,Nigeria,Africa,Lower Middle,2.1,1.55,3.05,3.7,2.5,2.8,0.65
43,Nepal,South Asia,Lower Middle,2.0,1.6,3.15,3.7,2.6,2.9,0.7
44,Bangladesh,South Asia,Lower Middle,1.8,1.4,3.0,3.8,2.4,2.8,0.55
45,Pakistan,South Asia,Lower Middle,1.9,1.5,3.0,3.8,2.5,2.8,0.6
